mpCopData[0], STX; 0x02,
mpCopData[1], ETX; 0x03,
mpCopData[2], CAN; 0x018,
mpCopData[3], NUL; 0x00,
mpCopData[4], NUL; 0x00,
mpCopData[5], NUL; 0x00,
mpCopData[6], NUL; 0x00,
mpCopData[7], 'B'; 0x42,
mpCopData[8], '?'; 0xb8,
mpCopData[9], 'ии'; 0xe8,
mpCopData[10], '?'; 0xa6,
mpCopData[11], 'B'; 0x42,
mpCopData[12], '?'; 0xf7,
mpCopData[13], '?'; 0xd0,
mpCopData[14], NUL; 0x00,
mpCopData[15], 'B'; 0x42,
mpCopData[16], '?'; 0xf7,
mpCopData[17], '?'; 0xd2,
mpCopData[18], NUL; 0x00,
mpCopData[19], 'A'; 0x41,
mpCopData[20], '?'; 0xa0,
mpCopData[21], NUL; 0x00,
mpCopData[22], NUL; 0x00,
mpCopData[23], 'B'; 0x42,
mpCopData[24], '?'; 0xca,
mpCopData[25], '?'; 0xa6,
mpCopData[26], 'h'; 0x68,
mpCopData[27], TAB; 0x09,
mpCopData[28], 'g'; 0x67,
mpCopData[29], NUL; 0x00,
