ReceiveBuffer[0], 0x14,
ReceiveBuffer[1], 0x10,
ReceiveBuffer[2], 0x0B,
ReceiveBuffer[3], 0x1A,
ReceiveBuffer[4], 0x08,
ReceiveBuffer[5], 0x32,
ReceiveBuffer[6], 0x2C,
ReceiveBuffer[7], 0x00,
ReceiveBuffer[8], 0x00,
ReceiveBuffer[9], 0x00,
ReceiveBuffer[10], 0x00,
ReceiveBuffer[11], 0x00,
ReceiveBuffer[12], 0x00,
ReceiveBuffer[13], 0x00,
ReceiveBuffer[14], 0x00,
ReceiveBuffer[15], 0x00,
ReceiveBuffer[16], 0x00,
ReceiveBuffer[17], 0x00,
ReceiveBuffer[18], 0x00,
ReceiveBuffer[19], 0x00,
ReceiveBuffer[20], 0x00,
ReceiveBuffer[21], 0x00,
ReceiveBuffer[22], 0x00,
ReceiveBuffer[23], 0x00,
ReceiveBuffer[24], 0x00,
ReceiveBuffer[25], 0x00,
ReceiveBuffer[26], 0x00,
ReceiveBuffer[27], 0x00,
ReceiveBuffer[28], 0x00,
ReceiveBuffer[29], 0x00,
ReceiveBuffer[30], 0x00,
ReceiveBuffer[31], 0x00,
ReceiveBuffer[32], 0x00,
ReceiveBuffer[33], 0x00,
ReceiveBuffer[34], 0x00,
ReceiveBuffer[35], 0x00,
ReceiveBuffer[36], 0x00,
ReceiveBuffer[37], 0x00,
ReceiveBuffer[38], 0x00,
ReceiveBuffer[39], 0x00,
ReceiveBuffer[40], 0x02,
ReceiveBuffer[41], 0x00,
ReceiveBuffer[42], 0x05,
ReceiveBuffer[43], 0x43,
ReceiveBuffer[44], 0x4D,
ReceiveBuffer[45], 0x4E,
ReceiveBuffer[46], 0x45,
ReceiveBuffer[47], 0x54,
ReceiveBuffer[48], 0xFF,
ReceiveBuffer[49], 0xFF,
ReceiveBuffer[50], 0xFF,
ReceiveBuffer[51], 0xFF,
ReceiveBuffer[52], 0xFF,
ReceiveBuffer[53], 0xFF,
ReceiveBuffer[54], 0xFF,
ReceiveBuffer[55], 0x08,
ReceiveBuffer[56], 0x00,
ReceiveBuffer[57], 0x00,
ReceiveBuffer[58], 0xFF,
